ID,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,tanimp,relimp,resimp,asrimp,empimp,oq,rec,use,prob,resolve,sex,mstat,age,inc,ed,reliavrg,empavrg,tangavrg,respavrg,assuravg
235,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree Slightly,Agree Slightly,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10,30,20,20,20,10,Yes,2 to 5 years,No,NA,Female,Married,25-44,$30K-$49.9K,Some College,7,6.4,5.75,7,7
236,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,20,20,20,20,20,10,Yes,5 or more years,NA,Yes,Male,Married,25-44,$30K-$49.9K,High School or Less,7,7,7,7,7
237,Disagree Slightly,Disagree Slightly,Disagree Slightly,Disagree Slightly,Agree Slightly,Disagree Slightly,Disagree Slightly,Neither Agree Nor Disagree,Disagree Slightly,Neither Agree Nor Disagree,Disagree Slightly,Disagree Slightly,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree Slightly,Disagree Slightly,Disagree Slightly,Disagree Slightly,Agree Slightly,Neither Agree Nor Disagree,18,22,19,21,20,5,Yes,2 to 5 years,No,NA,Male,Married,25-44,$30K-$49.9K,Graduate School,3.4,3.4,4,3.5,3.75
238,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,20,20,20,20,20,10,Yes,5 or more years,No,NA,Male,Widowed,45-64,$20K - $29.9 K,Some College,7,6.8,6.5,7,7
239,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree Slightly,Neither Agree Nor Disagree,Agree Slightly,Strongly Agree,Neither Agree Nor Disagree,Agree Slightly,Neither Agree Nor Disagree,Disagree Slightly,Disagree,Disagree,Strongly Disagree,Disagree Slightly,Disagree,Agree,5,30,30,30,5,4,Yes,5 or more years,Yes,Yes,Female,Divorced,65+,>$65K,Some College,1,3.2,5.25,2.75,3
240,NA,Agree Slightly,Agree Slightly,Strongly Agree,NA,Strongly Agree,NA,Strongly Agree,Disagree Slightly,Strongly Agree,NA,NA,Strongly Agree,NA,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NA,Agree Slightly,Strongly Agree,Strongly Agree,10,40,25,15,10,7,Yes,2 to 5 years,No,NA,Female,Married,25-44,>$65K,College Graduate,5.666666667,6,7,7,6.333333333
241,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Strongly Agree,Neither Agree Nor Disagree,NA,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree Slightly,Agree Slightly,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,5,50,25,10,10,9,Yes,1 to 2 years,No,NA,Female,Married,25-44,$20K - $29.9 K,Some College,4,5.25,4.5,6,6
242,Agree Slightly,Agree Slightly,Agree,Agree,Neither Agree Nor Disagree,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree Slightly,Agree Slightly,Agree,Agree,Agree,Agree,Agree,Agree Slightly,Agree,Agree Slightly,Agree,Agree,10,25,25,20,20,9,Yes,2 to 5 years,NA,Yes,Male,Married,25-44,$20K - $29.9 K,High School or Less,5.2,4.4,5.5,5.75,5.75
243,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,Female,Married,25-44,$30K-$49.9K,College Graduate,6,6,6,6,6
244,Neither Agree Nor Disagree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,5,30,10,5,50,10,Yes,5 or more years,No,NA,Male,Married,25-44,$50K-$64.9,High School or Less,5.8,7,6.25,6.75,7
245,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree Slightly,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,60,10,10,10,10,10,Yes,5 or more years,No,NA,Male,Single,< 25,$20K - $29.9 K,Some College,6.6,6.6,5.5,7,7
246,NA,NA,NA,NA,NA,Strongly Agree,NA,Strongly Agree,NA,Strongly Agree,NA,NA,Strongly Agree,Disagree Slightly,NA,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NA,Strongly Agree,Strongly Agree,10,30,10,40,10,10,Yes,Less than 1 year,No,NA,Male,Married,25-44,$50K-$64.9,College Graduate,NA,7,5,7,7
247,Disagree Slightly,Disagree Slightly,Disagree,Disagree,Neither Agree Nor Disagree,Agree,Agree,Strongly Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree Slightly,Agree Slightly,Agree Slightly,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,15,25,20,20,20,5,Yes,5 or more years,Yes,Yes,Female,Married,25-44,>$65K,High School or Less,2.8,5.4,6.75,4.5,3.75
248,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,20,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,7,6.5,NA,NA
249,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree Slightly,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,15,25,35,15,10,10,Yes,5 or more years,No,NA,Female,Married,25-44,$30K-$49.9K,Some College,6.6,5.6,6,7,6.75
250,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NA,NA,NA,NA,NA,9,Yes,5 or more years,No,NA,Male,Married,25-44,$30K-$49.9K,High School or Less,6.6,6.8,7,7,7
251,Neither Agree Nor Disagree,Agree Slightly,Neither Agree Nor Disagree,Agree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree Slightly,Agree,Agree,Agree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree Slightly,Disagree Slightly,Disagree Slightly,Disagree Slightly,Neither Agree Nor Disagree,Disagree Slightly,Neither Agree Nor Disagree,5,25,25,25,20,5,No,5 or more years,Yes,No,Female,Widowed,45-64,NA,High School or Less,4.4,4,5.25,3.25,3.5
252,Agree,Strongly Agree,Agree,Agree Slightly,Strongly Agree,Agree,Agree Slightly,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,15,25,20,20,20,9,Yes,5 or more years,No,NA,Male,Divorced,65+,>$65K,Graduate School,6.2,6.2,6,6.25,6.75
253,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neither Agree Nor Disagree,Strongly Agree,Agree Slightly,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,5,15,20,20,40,8,Yes,5 or more years,No,NA,Male,Married,25-44,$10K-$19.9 K,High School or Less,6,6.6,5.5,6.75,7
254,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree Slightly,Agree Slightly,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,10,50,10,20,10,10,Yes,5 or more years,No,NA,Female,Divorced,65+,< $10K,High School or Less,7,6,6.75,7,6.75
255,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NA,NA,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10,20,25,25,20,10,Yes,5 or more years,NA,NA,Female,Widowed,45-64,$30K-$49.9K,High School or Less,7,7,7,7,7
256,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree Slightly,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,5,30,25,20,20,1,No,5 or more years,Yes,No,Male,Married,25-44,$30K-$49.9K,Some College,1.6,1.6,5.5,1,1.5
257,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree Slightly,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NA,20,20,20,20,20,10,Yes,5 or more years,No,NA,Female,Married,25-44,$20K - $29.9 K,High School or Less,7,7,6.5,7,7
258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly Agree,Strongly Agree,NA,NA,NA,NA,NA,Strongly Agree,NA,NA,20,20,20,20,20,8,Yes,Less than 1 year,No,NA,Male,Married,25-44,>$65K,High School or Less,NA,NA,7,NA,7
259,Agree,Agree,Agree Slightly,Agree,Agree Slightly,Agree,Agree,Agree,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Agree,Agree Slightly,Agree,Agree,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Agree,Agree,5,40,30,15,10,9,Yes,5 or more years,No,NA,Male,Married,25-44,$30K-$49.9K,Some College,5.6,5.6,5.25,5.5,5.5
260,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,Agree Slightly,Neither Agree Nor Disagree,Agree,Disagree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Disagree,Neither Agree Nor Disagree,Disagree,1,1,1,96,1,6,No,Less than 1 year,Yes,No,Female,Single,< 25,$10K-$19.9 K,College Graduate,4.8,4.4,5,4.25,2.75
261,Strongly Disagree,Disagree Slightly,Strongly Disagree,Disagree Slightly,NA,Strongly Agree,NA,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,NA,NA,Strongly Agree,NA,Neither Agree Nor Disagree,Strongly Disagree,Neither Agree Nor Disagree,Strongly Disagree,Strongly Disagree,Neither Agree Nor Disagree,Agree,Strongly Disagree,NA,NA,NA,NA,NA,3,No,5 or more years,Yes,Yes,Male,Married,25-44,$20K - $29.9 K,High School or Less,2,4.75,7,2.5,3
262,Strongly Agree,Agree Slightly,Agree,Strongly Agree,Agree Slightly,Strongly Agree,Neither Agree Nor Disagree,Agree Slightly,Strongly Agree,Agree Slightly,Strongly Agree,Strongly Agree,Agree,Agree Slightly,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree Slightly,Strongly Agree,5,60,10,20,5,9,Yes,5 or more years,No,NA,Female,Single,< 25,$30K-$49.9K,Some College,6,5.6,6.25,6.25,6.5
263,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10,50,20,10,10,10,Yes,5 or more years,No,NA,Female,Divorced,65+,$20K - $29.9 K,Some College,7,7,5.5,7,7
264,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NA,NA,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10,30,30,15,15,10,Yes,5 or more years,No,NA,Female,Married,25-44,$30K-$49.9K,High School or Less,6.4,7,7,6.75,7
265,Agree,Agree Slightly,Agree Slightly,Agree Slightly,Agree,Agree,Agree,Neither Agree Nor Disagree,Agree Slightly,Neither Agree Nor Disagree,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,Agree Slightly,5,30,25,25,15,7,Yes,5 or more years,Yes,Yes,Male,Married,25-44,$20K - $29.9 K,College Graduate,5.4,5,5,4.5,4.75
266,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,Married,25-44,$50K-$64.9,College Graduate,6.6,7,7,NA,NA
267,Agree Slightly,Agree Slightly,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Strongly Agree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Agree Slightly,Agree,Neither Agree Nor Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10,10,10,10,60,9,Yes,5 or more years,No,NA,Male,Married,25-44,$50K-$64.9,Some College,5.6,5.2,5.5,6.75,7
268,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree Slightly,Strongly Disagree,Agree Slightly,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,20,20,20,20,20,1,Yes,NA,Yes,No,Male,Married,25-44,$20K - $29.9 K,Graduate School,1.2,1,2,2,1
269,Disagree,Disagree Slightly,Disagree,Disagree Slightly,Agree Slightly,Agree,Strongly Disagree,Agree,Agree,NA,Agree Slightly,Agree,Strongly Agree,NA,Disagree,Disagree Slightly,Neither Agree Nor Disagree,Strongly Disagree,Disagree Slightly,Agree,Agree,Disagree Slightly,NA,NA,NA,NA,NA,4,No,5 or more years,Yes,No,Male,Married,25-44,NA,High School or Less,3,4.75,6,2.5,4.5
270,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree Slightly,Strongly Agree,Strongly Agree,Strongly Agree,NA,NA,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,20,20,20,20,20,10,Yes,5 or more years,Yes,No,Male,Married,25-44,$30K-$49.9K,Some College,7,6.6,7,7,7
271,Agree,Agree Slightly,Disagree Slightly,Agree,Disagree Slightly,Agree,Agree Slightly,Agree,Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree Slightly,Agree,Agree,Agree Slightly,Agree,Agree,Agree,10,40,20,10,20,7,Yes,5 or more years,Yes,Yes,Female,Married,25-44,$30K-$49.9K,College Graduate,4.6,5.8,4.25,5.25,5.75
272,Agree Slightly,Agree,Agree,Agree,NA,Agree,Agree,Strongly Agree,Disagree Slightly,NA,NA,NA,Agree,Neither Agree Nor Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,10,55,15,10,10,9,Yes,5 or more years,No,NA,Male,Married,25-44,$50K-$64.9,Graduate School,5.75,5.5,5,6,6.25
273,Neither Agree Nor Disagree,Disagree Slightly,Strongly Agree,Agree Slightly,Agree Slightly,Strongly Disagree,Agree,Disagree Slightly,Strongly Disagree,Strongly Disagree,Disagree Slightly,Strongly Disagree,Strongly Disagree,Strongly Agree,Neither Agree Nor Disagree,Disagree Slightly,Neither Agree Nor Disagree,Strongly Disagree,Neither Agree Nor Disagree,Disagree Slightly,Neither Agree Nor Disagree,Agree Slightly,30,10,15,15,30,7,Yes,Less than 1 year,NA,NA,Male,Single,< 25,$10K-$19.9 K,High School or Less,4.8,2.4,3,3,4
274,Disagree Slightly,Neither Agree Nor Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree Slightly,Agree Slightly,Disagree,Neither Agree Nor Disagree,Agree,Agree,Neither Agree Nor Disagree,Strongly Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Agree,10,40,10,25,15,5,No,5 or more years,No,NA,Female,Married,25-44,$30K-$49.9K,Some College,2.2,4.4,5.75,3.25,3.75
275,Agree,Agree Slightly,Agree Slightly,Agree,Agree Slightly,Agree,Neither Agree Nor Disagree,Agree Slightly,Disagree Slightly,Agree,Neither Agree Nor Disagree,Disagree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree,Agree,Agree Slightly,Agree,Agree,Agree,Strongly Agree,10,30,20,20,20,7,Yes,1 to 2 years,No,NA,Male,Single,< 25,$20K - $29.9 K,High School or Less,5.4,4.8,3.75,5.75,6.25
276,Disagree,Disagree Slightly,Disagree,Disagree Slightly,Agree Slightly,Agree,Strongly Disagree,Agree,Agree,NA,Agree Slightly,Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,Married,25-44,NA,High School or Less,3,4.75,5.5,NA,NA
277,Disagree,Agree Slightly,Strongly Agree,Strongly Disagree,NA,Strongly Agree,Neither Agree Nor Disagree,Strongly Agree,Strongly Disagree,NA,NA,NA,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Disagree Slightly,Strongly Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Strongly Agree,Neither Agree Nor Disagree,NA,NA,NA,NA,NA,6,Yes,Less than 1 year,No,NA,Female,Married,25-44,$30K-$49.9K,Some College,3.75,4.75,7,4.5,4.25
278,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,NA,NA,Strongly Agree,Agree Slightly,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,NA,NA,NA,NA,NA,8,Yes,5 or more years,No,NA,Female,Married,25-44,$20K - $29.9 K,High School or Less,6.6,6.8,6,6.25,6
279,Disagree Slightly,Disagree Slightly,Disagree Slightly,Disagree Slightly,Agree,Agree,Agree,Agree Slightly,Neither Agree Nor Disagree,Agree Slightly,NA,NA,NA,NA,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Agree,Agree Slightly,Agree Slightly,Agree,10,35,25,15,15,5,NA,5 or more years,Yes,Yes,Female,Married,25-44,$30K-$49.9K,Some College,3.6,5.2,NA,5,5.5
280,Strongly Agree,Strongly Agree,Agree Slightly,Agree Slightly,Agree Slightly,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree Slightly,Agree,Strongly Agree,Strongly Agree,Agree Slightly,Strongly Agree,Agree,Strongly Agree,5,50,30,5,10,10,Yes,1 to 2 years,No,NA,Female,Married,25-44,>$65K,College Graduate,5.8,7,7,6.25,6.25
281,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree Slightly,10,10,30,20,30,9,Yes,2 to 5 years,No,NA,Male,Married,25-44,$30K-$49.9K,College Graduate,6,7,5.5,7,6.5
282,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,1,20,30,29,20,9,Yes,5 or more years,No,NA,Male,Married,25-44,$20K - $29.9 K,Some College,7,6.2,4.5,7,6.25
283,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,12,22,22,22,22,9,Yes,Less than 1 year,No,NA,Male,Married,25-44,$30K-$49.9K,Graduate School,6.2,7,6.5,6.75,7
284,Neither Agree Nor Disagree,Disagree,Disagree Slightly,Disagree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,Strongly Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Agree,Agree,Agree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree Slightly,Neither Agree Nor Disagree,Agree Slightly,Disagree Slightly,NA,NA,NA,NA,NA,4,No,1 to 2 years,Yes,No,Male,Married,25-44,>$65K,Graduate School,3.4,3.8,5.25,4.25,3.75
285,Agree,Agree,Agree,Agree,Agree,Agree Slightly,Agree Slightly,Agree,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Strongly Agree,Agree Slightly,Agree,Agree,Agree,Agree Slightly,Strongly Agree,Agree Slightly,Strongly Agree,Strongly Agree,20,20,20,20,20,8,Yes,5 or more years,No,NA,Female,Married,25-44,$20K - $29.9 K,High School or Less,6,5.2,5.5,5.75,6.5
